Family,Genus,Species,DataID,SciName,Family_encode,Fam_Sample,Fam_Specie,Family_encodeYY
Geometridae,Maxates,rufolimbata,A42-20170814-014_TESRI_0.jpg,Maxates rufolimbata,37,4794,3198,0
Erebidae,Calliteara,arizana,V37-20190708-026_TESRI_0.jpg,Calliteara arizana,29,5090,2667,1
Geometridae,Dooabia,puncticostata,1826441955_NHMUK_2646_0.jpg,Dooabia puncticostata,37,4794,3198,0
Notodontidae,Lophontosia,fusca,A76-20190409-158_TESRI_0.jpg,Lophontosia fusca,64,739,528,15
Papilionidae,Papilio,anchisiades,1039126293_YPM_301_0.jpg,Papilio anchisiades,68,1101,365,11
Choreutidae,Tebenna,gnaphaliella,1585222320_MISSA_1197_0.jpg,Tebenna gnaphaliella,17,31,20,35
Geometridae,Pterotaea,leuschneri,2432336133_CSU_2024_0.jpg,Pterotaea leuschneri,37,4794,3198,0
Hesperiidae,Paratrytone,melane,2432261636_CSU_463_0.jpg,Paratrytone melane,44,1449,589,3
Noctuidae,Leucania,cyprium,1883280823_MNHN_2185_1.jpg,Leucania cyprium,62,3747,2218,2
Pieridae,Colotis,daira,1039100366_YPM_1906_0.jpg,Colotis daira,69,3076,852,9
Pyralidae,Orthopygia,nannodes,B29-20131018-023_TESRI_0.jpg,Orthopygia nannodes,75,531,348,14
Coleophoridae,Coleophora,cratipennella,1585235878_MISSA_270_0.jpg,Coleophora cratipennella,19,35,31,45
Papilionidae,Graphium,delesserti,1039030838_YPM_1815_0.jpg,Graphium delesserti,68,1101,365,11
Pieridae,Aporia,hippia,3017615766_UTE_688_0.jpg,Aporia hippia,69,3076,852,9
Geometridae,Thera,cupressata,1825897643_NHMUK_1705_0.jpg,Thera cupressata,37,4794,3198,0
Erebidae,Drasteria,hastingsii,2432365382_CSU_1293_0.jpg,Drasteria hastingsii,29,5090,2667,1
Hesperiidae,Pyrgus,alveus,3017508417_UTE_620_0.jpg,Pyrgus alveus,44,1449,589,3
Pyralidae,Homoeosoma,asylonnastes,1993806242_MISSA_3460_0.jpg,Homoeosoma asylonnastes,75,531,348,14
Crambidae,Chabula,trivitralis,A55-20160614-237_TESRI_0.jpg,Chabula trivitralis,22,1196,693,7
Lycaenidae,Celastrina,neglectamajor,1039071188_YPM_2290_1.jpg,Celastrina neglectamajor,53,1492,708,6
Nymphalidae,Charaxes,cithaeron,1321458108_USNM_5984_0.jpg,Charaxes cithaeron,65,4037,1666,4
Erebidae,Amastus,nadiae,1883279780_MNHN_208_0.jpg,Amastus nadiae,29,5090,2667,1
Nymphalidae,Baeotus,japetus,1039172099_YPM_1773_0.jpg,Baeotus japetus,65,4037,1666,4
Geometridae,Agriopis,marginaria,3003600122_TAM_1910_0.jpg,Agriopis marginaria,37,4794,3198,0
Erebidae,Euproctis,croceola,V24-20190316-043_TESRI_0.jpg,Euproctis croceola,29,5090,2667,1
Papilionidae,Ornithoptera,priamus,2446091356_NHMUK_2159_0.jpg,Ornithoptera priamus,68,1101,365,11
Hesperiidae,Zenonia,zeno,1039099388_YPM_1163_1.jpg,Zenonia zeno,44,1449,589,3
Papilionidae,Parides,eurimedes,1321181575_USNM_6161_0.jpg,Parides eurimedes,68,1101,365,11
Papilionidae,Sericinus,montela,1039188197_YPM_3343_0.jpg,Sericinus montela,68,1101,365,11
Geometridae,Eulithis,ledereri,3003743930_TAM_71_0.jpg,Eulithis ledereri,37,4794,3198,0
Nymphalidae,Acraea,pseudolycia,1039087988_YPM_1405_1.jpg,Acraea pseudolycia,65,4037,1666,4
Crambidae,Nevrina,procopia,A43-20170814-081_TESRI_0.jpg,Nevrina procopia,22,1196,693,7
Hesperiidae,Cymaenes,diduca,1317881527_USNM_9013_0.jpg,Cymaenes diduca,44,1449,589,3
Lycaenidae,Apharitis,ella,1039033347_YPM_1323_0.jpg,Apharitis ella,53,1492,708,6
Geometridae,Aspitates,forbesi,2432322580_CSU_1402_0.jpg,Aspitates forbesi,37,4794,3198,0
Erebidae,Pseudosphetta,moorei,A37-20150812-020_TESRI_0.jpg,Pseudosphetta moorei,29,5090,2667,1
Noctuidae,Xestia,ashworthii,3003633684_TAM_1360_0.jpg,Xestia ashworthii,62,3747,2218,2
Hesperiidae,Astraptes,alector,1981439416_MISSA_2361_0.jpg,Astraptes alector,44,1449,589,3
Pieridae,Delias,albertisi,1322172476_USNM_4178_0.jpg,Delias albertisi,69,3076,852,9
Lycaenidae,Calephelis,muticum,1039197729_YPM_2622_0.jpg,Calephelis muticum,53,1492,708,6
Erebidae,Remigiodes,turlini,1587261196_MNHN_1106_1.jpg,Remigiodes turlini,29,5090,2667,1
Pieridae,Cepora,pactolicus,1317221893_USNM_9364_0.jpg,Cepora pactolicus,69,3076,852,9
Saturniidae,Rothschildia,triloba,1039085039_YPM_2092_1.jpg,Rothschildia triloba,79,668,312,18
Papilionidae,Papilio,astyalus,2432245555_CSU_1834_0.jpg,Papilio astyalus,68,1101,365,11
Nymphalidae,Chlosyne,marina,2560346529_CSU_1588_0.jpg,Chlosyne marina,65,4037,1666,4
Pieridae,Belenois,ianthe,1317207144_USNM_2833_0.jpg,Belenois ianthe,69,3076,852,9
Lecithoceridae,Homaloxestis,myeloxesta,A48-20160601-165_TESRI_0.jpg,Homaloxestis myeloxesta,50,28,11,52
Geometridae,Eupithecia,expallidata,1825833774_NHMUK_1704_0.jpg,Eupithecia expallidata,37,4794,3198,0
Pieridae,Anthocharis,ellena,1319670593_USNM_8122_0.jpg,Anthocharis ellena,69,3076,852,9
Sphingidae,Ambulyx,kuangtungensis,A34-20140626-131_TESRI_0.jpg,Ambulyx kuangtungensis,84,642,398,10
Noctuidae,Mythimna,separata,A52-20151110-209_TESRI_0.jpg,Mythimna separata,62,3747,2218,2
Geometridae,Anisodes,aquila,1321940020_USNM_12007_0.jpg,Anisodes aquila,37,4794,3198,0
Erebidae,Hydrillodes,epidela,1990804975_MNHN_1099_0.jpg,Hydrillodes epidela,29,5090,2667,1
Noctuidae,Homoglaea,carbonaria,2432341214_CSU_1783_0.jpg,Homoglaea carbonaria,62,3747,2218,2
