Family,Subfamily,Genus,Species,SciName,Number,Source,Family_encode,Fam_Sample,Fam_Specie
Notodontidae,Phalerinae,Datana,perspicua,Datana perspicua,2432375495,CSU,60,741,530
Geometridae,Ennominae,Borbacha,pardaria,Borbacha pardaria,A37-20180907-057,TESRI,34,4684,3138
Geometridae,Ennominae,Cleora,fraterna,Cleora fraterna,A34-20130506-024,TESRI,34,4684,3138
Tortricidae,Olethreutinae,Olethreutes,osmundana,Olethreutes osmundana,1838875462,MISSA,84,938,802
Geometridae,Geometrinae,Hemistola,monotona,Hemistola monotona,A52-20160704-154,TESRI,34,4684,3138
Gelechiidae,Gelechiinae,Chionodes,kubai,Chionodes kubai,1322569876,USNM,33,410,359
Nymphalidae,Limenitidinae,Pseudargynnis,hegemone,Pseudargynnis hegemone,1039036935,YPM,61,3999,1655
Erebidae,Erebinae,Eulepidotis,zebra,Eulepidotis zebra,1990805070,MNHN,27,5150,2706
Crambidae,Acentropinae,Parapoynx,diminutalis,Parapoynx diminutalis,1585266355,MISSA,19,1196,693
Nymphalidae,Heliconiinae,Heliconius,atthis,Heliconius atthis,1039073649,YPM,61,3999,1655
Pieridae,Pierinae,Delias,henningia,Delias henningia,1320085215,USNM,65,3082,856
Pieridae,Pierinae,Dixeia,charina,Dixeia charina,1039124883,YPM,65,3082,856
Tortricidae,Olethreutinae,Gibberifera,simplana,Gibberifera simplana,1838886156,MISSA,84,938,802
Noctuidae,Noctuinae,Clavipalpula,aurariae,Clavipalpula aurariae,formosana,V37-20190408-045,58,3700,2182
Nymphalidae,Nymphalinae,Melitaea,varia,Melitaea varia,3017471306,UTE,61,3999,1655
Erebidae,Herminiinae,Tetanolita,mynesalis,Tetanolita mynesalis,1946088072,MISSA,27,5150,2706
Oecophoridae,Depressariinae,Depressaria,pastinacella,Depressaria pastinacella,2234820494,MISSA,62,70,65
Saturniidae,Hemileucinae,Paradirphia,winifredae,Paradirphia winifredae,1039153796,YPM,74,676,311
Geometridae,Larentiinae,Psaliodes,flavivena,Psaliodes flavivena,1321243464,USNM,34,4684,3138
Nymphalidae,Morphinae,Morpho,portis,Morpho portis,1039070247,YPM,61,3999,1655
Noctuidae,Noctuinae,Globia,sparganii,Globia sparganii,1434660324,MNHN,58,3700,2182
Nymphalidae,Satyrinae,Mycalesis,horsfieldii,Mycalesis horsfieldii,1039028457,YPM,61,3999,1655
Pieridae,Pierinae,Aporia,hippia,Aporia hippia,1039148239,YPM,65,3082,856
Geometridae,Larentiinae,Perizoma,albulata,Perizoma albulata,1825845153,NHMUK,34,4684,3138
Nymphalidae,Limenitidinae,Neptis,woodwardi,Neptis woodwardi,1837858496,NHMUK,61,3999,1655
Riodinidae,Riodininae,Argyrogrammana,denisi,Argyrogrammana denisi,2236803764,NHMUK,72,276,148
Notodontidae,Heterocampinae,Disphragis,avicans,Disphragis avicans,1317277646,USNM,60,741,530
Geometridae,Ennominae,Enypia,packardata,Enypia packardata,1932766638,MSU,34,4684,3138
Crambidae,Pyraustinae,Pyrausta,demantrialis,Pyrausta demantrialis,1897267291,MISSA,19,1196,693
Nolidae,Chloephorinae,Siglophora,ferreilutea,Siglophora ferreilutea,A41-20140325-119,TESRI,59,318,153
Lycaenidae,Theclinae,Thecla,rufofusca,Thecla rufofusca,1039143281,YPM,48,1283,600
Pieridae,Coliadinae,Colias,scudderi,Colias scudderi,1322905132,USNM,65,3082,856
Noctuidae,Noctuinae,Apamea,zeta,Apamea zeta,1454673733,MNHN,58,3700,2182
Hesperiidae,Hesperiinae,Vehilius,clavicula,Vehilius clavicula,1039053396,YPM,39,1463,597
Erebidae,Arctiinae,Eilema,iluopsis,Eilema iluopsis,1883279607,MNHN,27,5150,2706
Pieridae,Pierinae,Catasticta,nimbice,Catasticta nimbice,1039059934,YPM,65,3082,856
Nymphalidae,Danainae,Danaus,erippus,Danaus erippus,1039034178,YPM,61,3999,1655
Erebidae,Aventiinae,Zurobata,vacillans,Zurobata vacillans,A35-20130805-044,TESRI,27,5150,2706
Notodontidae,Unassigned,Malocampa,obliquata,Malocampa obliquata,1321217679,USNM,60,741,530
Noctuidae,Cuculliinae,Omphalophana,antirrhinii,Omphalophana antirrhinii,3003652866,TAM,58,3700,2182
Lycaenidae,Polyommatinae,Azanus,isis,Azanus isis,1039166735,YPM,48,1283,600
Nymphalidae,Danainae,Amauris,hecate,Amauris hecate,1039162846,YPM,61,3999,1655
Noctuidae,Noctuinae,Oligia,latruncula,Oligia latruncula,3017394896,UTE,58,3700,2182
Nymphalidae,Limenitidinae,Athyma,pravara,Athyma pravara,1039108869,YPM,61,3999,1655
Saturniidae,Hemileucinae,Cinommata,bistrigata,Cinommata bistrigata,1039108424,YPM,74,676,311
Nolidae,Chloephorinae,Carea,internifusca,Carea internifusca,A41-20181225-169,TESRI,59,318,153
Nymphalidae,Charaxinae,Charaxes,candiope,Charaxes candiope,1321341490,USNM,61,3999,1655
Geometridae,Sterrhinae,Chrysocraspeda,faganaria,Chrysocraspeda faganaria,A41-20181225-038,TESRI,34,4684,3138
Geometridae,Geometrinae,Berta,zygophyxia,Berta zygophyxia,1826442358,NHMUK,34,4684,3138
Geometridae,Ennominae,Alcis,songarica,Alcis songarica,3003634099,TAM,34,4684,3138
Geometridae,Larentiinae,Xanthorhoe,fluctuata,Xanthorhoe fluctuata,1825951071,NHMUK,34,4684,3138
Erebidae,Arctiinae,Creatonotos,transiens,Creatonotos transiens,vacillans,A35-20150609-088,27,5150,2706
Geometridae,Ennominae,Pero,macdunnoughi,Pero macdunnoughi,2432341541,CSU,34,4684,3138
Blastobasidae,Holcocerinae,Holcocera,dives,Holcocera dives,1320627476,USNM,7,3,3
Geometridae,Larentiinae,Erebochlora,chamaeleonis,Erebochlora chamaeleonis,1321041923,USNM,34,4684,3138
Lycaenidae,Polyommatinae,Oboronia,bueronica,Oboronia bueronica,1039128602,YPM,48,1283,600
Nolidae,Chloephorinae,Narangodes,flavibasis,Narangodes flavibasis,V04-20150320-078,TESRI,59,318,153
Erebidae,Arctiinae,Spilosoma,milloti,Spilosoma milloti,1883279446,MNHN,27,5150,2706
Geometridae,Ennominae,Hypomecis,cineracea,Hypomecis cineracea,V17-20140607-041,TESRI,34,4684,3138
Drepanidae,Drepaninae,Watsonalla,binaria,Watsonalla binaria,3003738948,TAM,21,318,131
Crambidae,Acentropinae,Parapoynx,crisonalis,Parapoynx crisonalis,A35-20140728-199,TESRI,19,1196,693
Nymphalidae,Heliconiinae,Speyeria,aphrodite,Speyeria aphrodite,1039192860,YPM,61,3999,1655
Lycaenidae,Polyommatinae,Brephidium,pseudofea,Brephidium pseudofea,1039071978,YPM,48,1283,600
Papilionidae,Papilioninae,Papilio,palamedes,Papilio palamedes,1039038685,YPM,64,1096,364
Geometridae,Ennominae,Narraga,fasciolaria,Narraga fasciolaria,3003706141,TAM,34,4684,3138
