No.,,label,Family,ID_20210210,ID(ima),Note_2021,Note,Sex,leg,Altitude,Date,,https://docs.google.com/spreadsheets/d/1RHkhHfEt1v9-deuz8HKdCWCuM4Mm_BVllWvMIyoT8iw/edit#gid=698436074,Species,Sex,Dw(g),NOTE,N_W_length,N_B_length,疊,籤,檔案日期,影像問題,Note_Chiou_Specimen,Note_thermal,Hot,Cold,Before.jpg,Temp_min_bf,Temp_max_bf,Temp_avg_bf,After.jpg,Temp_min,Temp_max,Temp_avg,點測,,,,
0001-0038,,,,,,,,,,1959,24-VII-2019,"4.524189, 101.381956","N4°31'27.08"" E101°22'55.04""",,,,,,,,,,,,,,,,,,,,,,,,,,,
0039-0170,,,,,,,,,,1493,25-VII-2019,"4.481478, 101.375897","N4°28'53.32"" E101°22'33.23""",,,,,,,,,,,,,,,,,,,,,,,,,,,
0171-0354,,,,,,,,,,509,26-VII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,
0355-0534,,,,,,,,,,1959,27-VII-2019,"4.524189, 101.381956","N4°31'27.08"" E101°22'55.04""",,,,,,,,,,,,,,,,,,,,,,,,,,,
0535-0581,,,,,,,,,,1493,28-VII-2019,"4.481478, 101.375897","N4°28'53.32"" E101°22'33.23""",,,,,,,,,,,,,,,,,,,,,,,,,,,
0582-0772,,,,,,,,,,1372,3-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,,,,,,,,,,,,,,,,,,,,,,,,,
0773-1003,,,,,,,,,,902,4-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1004-1180,,,,,,,,,,1959,5-VIII-2019,"4.524189, 101.381956","N4°31'27.08"" E101°22'55.04""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1181-1355,,,,,,,,,,509,6-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1356-1520,,,,,,,,,,1372,7-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1521-1722,,,,,,,,,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1723-1891,,,,,,,,,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1892-2012,,,,,,,,,,903,10-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2131,,,,,,,,,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,
編號,,,,,,,,,,海拔,工作開始日期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATT2131,2131,,Hypeninae,CA_NAA01,CA_HER08,modify,,f,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00150,0號針,8.19,6.89,,,,,,,1,0,8715_IR.jpg,23.2,23.3,23.2,8723_IR.jpg,43.4,45.8,44.7,,,,,
CATT2130,2130,,Hypeninae,CA_NAA02,CA_HER09,modify,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00050,0號針,6.16,5.46,,,,,,,0,1,8713_IR.jpg,22.7,22.9,22.8,8725_IR.jpg,-2.3,-0.8,-1.9,,,,,
CATT2129,2129,,Lasiocampidae,CA_LAS04,,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.07010,0號針,19.14,19.3,,,,,,,1,0,8709_IR.jpg,22.4,22.6,22.5,8731_IR.jpg,42.5,44.7,43.9,,,,,
