Event,Sample_No.,Altitude,Group,Superfamily,Family,Genus,Species,Sex,Subfamily,Tribe,Code,Species_previous,W_length,B_length,TT_Weight,RS_Weight_with_pin,RS_Weight_pin,RS_Weight,秤重,note,已量針,RS_Weight(old),RS_Weight_old,Hot,Cold,Temp_min,Temp_max,Temp_avg ,Hot,Cold,Temp_min,Temp_max,Temp_avg,,Coll_data,Coll_date,coll_temp,species_meanCT,Note
MCTT,1,2993,macromoth,Noctuoidea,Noctuidae,Hermonassa,Hermonassa legraini,,,,346335,Hermonassa legraini,16.02,12.11,0.0505,,,,,,,,,1,0,38.1,38.8,38.4,1,0,38.1,38.8,38.4,,,18-VIII-2015,12.11926823,37.45,
MCTT,2,2993,macromoth,Noctuoidea,Noctuidae,Xestia,Xestia tamsi,,,,346826,Xestia tamsi,17.36,15.64,0.0565,,,,,,,,,1,0,29.8,36.1,32.3,1,0,29.8,36.1,32.3,,,18-VIII-2015,12.11926823,38.2875,
MCTT,3,2993,macromoth,Geometroidea,Geometridae,Alcis,Alcis postlurida,,,,344628,Alcis postlurida,17.66,11.04,0.0127,,,,,,,,,0,1,-3.5,-2.7,-3.1,0,1,-3.5,-2.7,-3.1,,,18-VIII-2015,12.11926823,-2.75,pinned
MCTT,4,2993,macromoth,Noctuoidea,Noctuidae,Pseudodeltote,Pseudodeltote formosana,,,,346678,Pseudodeltote formosana,12.84,9.94,0.0052,,,,,,,,,1,0,37.3,37.9,37.6,1,0,37.3,37.9,37.6,,,18-VIII-2015,12.11926823,37.6,
MCTT,5,2993,macromoth,Noctuoidea,Noctuidae,Xestia,Xestia tamsi,,,,346826,Xestia tamsi,17.7,15.67,0.0531,,,,,,,,,1,0,39,41.6,40.3,1,0,39,41.6,40.3,,,18-VIII-2015,12.11926823,38.2875,
MCTT,6,2993,macromoth,Noctuoidea,Noctuidae,Olivenebula,Olivenebula oberthueri,,,,346569,Olivenebula oberthueri,21.2,15.82,0.0524,,,,,,,,,1,0,37.2,40.9,39.3,1,0,37.2,40.9,39.3,,,18-VIII-2015,12.11926823,40.06,
MCTT,7,2993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,Specimen lost
MCTT,8,2993,macromoth,Noctuoidea,Noctuidae,Xestia,Xestia tamsi,,,,346826,Xestia tamsi,19.01,16.85,0.0557,,,,,,,,,1,0,34.5,39.7,37.4,1,0,34.5,39.7,37.4,,,18-VIII-2015,12.11926823,38.2875,
MCTT,9,2993,macromoth,Noctuoidea,Noctuidae,Hermonassa,Hermonassa legraini,,,,346335,Hermonassa legraini,16.49,14.62,0.0564,,,,,,,,,1,0,35.2,37.9,36.5,1,0,35.2,37.9,36.5,,,18-VIII-2015,12.11926823,37.45,
MCTT,10,2993,macromoth,Noctuoidea,Noctuidae,Apospasta,Apospasta rantaizanensis,,,,346023,Apospasta rantaizanensis,19.62,17.71,0.0862,,,,,,,,,1,0,35,39.1,37.7,1,0,35,39.1,37.7,,,18-VIII-2015,12.11926823,41.18,
