,Taxon,Sex,Name,Suborder,Family,Species
0,Microlepidoptera|Zygaenidae|Agalope trimacula,Female,"03_Agalope trimacula Matsumura, 1927_male-1_mana",Microlepidoptera,Zygaenidae,Agalope trimacula
1,Microlepidoptera|Zygaenidae|Agalope wangi,Male,"05-Agalope wangi Owada, 1992_male-1_mana",Microlepidoptera,Zygaenidae,Agalope wangi
2,Microlepidoptera|Zygaenidae|Agalope formosana,Female,"08_Agalope formosana Matsumura, 1927_female-1_mana",Microlepidoptera,Zygaenidae,Agalope formosana
3,Macroheterocera|Geometridae|Larentiinae|Eupithecia concava,Female,22 mm ♀ Eupithecia concava  圓凹球果尺蛾,Macroheterocera,Geometridae,Eupithecia concava
4,Macroheterocera|Geometridae|Larentiinae|Eupithecia robiginascens,Female,23 mm ♀  Eupithecia robiginascens  彎帶球果尺蛾_800,Macroheterocera,Geometridae,Eupithecia robiginascens
5,Macroheterocera|Geometridae|Larentiinae|Eupithecia pellicata,Female,27 mm ♀ Eupithecia pellicata 弧紋球果尺蛾_800,Macroheterocera,Geometridae,Eupithecia pellicata
6,Macroheterocera|Lasiocampidae|Alompra yibinfani,Male,2nd_Alompra_sp_male_FBG_11-VIII-2007_TFRI00113100YMChen_800,Macroheterocera,Lasiocampidae,Alompra yibinfani
7,Macroheterocera|Erebidae|Arctiinae|Arctiini|Lemyra rhodophilodes,Male,35 mm ♂  Lemyra rhodophilodes  擬姬白望燈蛾 (1) 拷貝,Macroheterocera,Erebidae,Lemyra rhodophilodes
8,Macroheterocera|Erebidae|Arctiinae|Arctiini|Lemyra rhodophilodes,Female,42 mm ♀ Lemyra rhodophilodes  擬姬白望燈蛾 (1) 拷貝,Macroheterocera,Erebidae,Lemyra rhodophilodes
9,Macroheterocera|Geometridae|Ennominae|Abraxas antinebulosa,Male,"A03_Abraxas antinebulosa Inoue, 1984_male_01",Macroheterocera,Geometridae,Abraxas antinebulosa
10,Macroheterocera|Geometridae|Ennominae|Abraxas antinebulosa,Female,"A04_Abraxas antinebulosa Inoue, 1984_female_01",Macroheterocera,Geometridae,Abraxas antinebulosa
11,Macroheterocera|Geometridae|Ennominae|Abraxas wilemani,Male,"A05_Abraxas wilemani Inoue, 1984_male_01_800px",Macroheterocera,Geometridae,Abraxas wilemani
12,Macroheterocera|Geometridae|Ennominae|Abraxas wilemani,Female,"A06_Abraxas wilemani Inoue, 1984_male_01_800px",Macroheterocera,Geometridae,Abraxas wilemani
13,Macroheterocera|Geometridae|Ennominae|Abraxas placata,Male,"A07_Abraxas placata Inoue, 1984_male_01",Macroheterocera,Geometridae,Abraxas placata
14,Macroheterocera|Geometridae|Ennominae|Abraxas fletcheri,Female,A10_Abraxas fletcheri Inou_1800_800px,Macroheterocera,Geometridae,Abraxas fletcheri
15,Macroheterocera|Geometridae|Ennominae|Abraxas antinebulosa,Female,"A12_Abraxas antinebulosa Inoue, 1984_female_01",Macroheterocera,Geometridae,Abraxas antinebulosa
16,Macroheterocera|Geometridae|Ennominae|Abraxas placata,Female,"A19_Abraxas placata Inoue, 1984_female_Siji Logging Rd_TFRI_01_dissected_800px",Macroheterocera,Geometridae,Abraxas placata
17,Macroheterocera|Geometridae|Ennominae|Abraxas adilluminata,Male,"A25_Abraxas adilluminata Inoue, 1984_male_01",Macroheterocera,Geometridae,Abraxas adilluminata
18,Macroheterocera|Geometridae|Ennominae|Abraxas tenellula,Female,"A26_Abraxas tenellula Inoue, 1984_female_01",Macroheterocera,Geometridae,Abraxas tenellula
19,Macroheterocera|Geometridae|Ennominae|Abraxas formosilluminata,Female,"A38_Abraxas formosiilluminata Inoue, 1984_female_01",Macroheterocera,Geometridae,Abraxas formosilluminata
20,Macroheterocera|Geometridae|Ennominae|Abaciscus alishanensis,Male,Abaciscus alishanensis_male_Meifeng_22-XI-2011_SWu-17,Macroheterocera,Geometridae,Abaciscus alishanensis
21,Macroheterocera|Geometridae|Ennominae|Abaciscus costimacula,Female,Abaciscus costimacula_female_FBG_15-VI-2015_SWu&WCChang_01_1,Macroheterocera,Geometridae,Abaciscus costimacula
22,Macroheterocera|Geometridae|Ennominae|Abaciscus costimacula,Male,Abaciscus costimacula_male_CB750_1,Macroheterocera,Geometridae,Abaciscus costimacula
23,Macroheterocera|Geometridae|Ennominae|Abraxas adilluminata,Female,Abraxas adilluminata_female_Biluxi_1-VII-2015_SSLu_13_1,Macroheterocera,Geometridae,Abraxas adilluminata
24,Macroheterocera|Geometridae|Ennominae|Abraxas adilluminata,Female,Abraxas adilluminata_female_Hewang_28-X-2015_dissected_TFRI_20170105_020,Macroheterocera,Geometridae,Abraxas adilluminata
25,Macroheterocera|Geometridae|Ennominae|Abraxas adilluminata,Female,Abraxas adilluminata_female_MTTS1558_1,Macroheterocera,Geometridae,Abraxas adilluminata
26,Macroheterocera|Geometridae|Ennominae|Abraxas adilluminata,Female,Abraxas adilluminata_female_MTTS302_1,Macroheterocera,Geometridae,Abraxas adilluminata
27,Macroheterocera|Geometridae|Ennominae|Abraxas adilluminata,Female,Abraxas adilluminata_female_MTTS302_dissected_01,Macroheterocera,Geometridae,Abraxas adilluminata
28,Macroheterocera|Geometridae|Ennominae|Abraxas adilluminata,Female,Abraxas adilluminata_female_MTTS690_dissected_01,Macroheterocera,Geometridae,Abraxas adilluminata
29,Macroheterocera|Geometridae|Ennominae|Abraxas adilluminata,Male,Abraxas adilluminata_male_Biluxi_1-VII-2015_SSLu_12_1,Macroheterocera,Geometridae,Abraxas adilluminata
30,Macroheterocera|Geometridae|Ennominae|Abraxas adilluminata,Male,Abraxas adilluminata_male_MTTS230_dissected_01,Macroheterocera,Geometridae,Abraxas adilluminata
31,Macroheterocera|Geometridae|Ennominae|Abraxas adilluminata,Male,Abraxas adilluminata_male_MTTS641_01,Macroheterocera,Geometridae,Abraxas adilluminata
32,Macroheterocera|Geometridae|Ennominae|Abraxas adilluminata,Male,Abraxas adilluminata_male_Nanchung_9-XI-2019_TFRI209285_1_dissected,Macroheterocera,Geometridae,Abraxas adilluminata
