,Family,Species,tags_count,tersi_count
0,Erebidae,"""Adrapsa"" sp.",0,0
1,Geometridae,"""Collix"" sp.",0,0
2,Erebidae,"""Eilema"" sp. 1",0,0
3,Erebidae,"""Eilema"" sp. 2",0,0
4,Erebidae,"""Eilema"" sp. 3",0,0
5,Noctuidae,"""Koyaga"" sp._blue",0,0
6,Geometridae,"""Lophophleps"" sp.",0,0
7,Erebidae,"""Plecoptera"" sp.",0,0
8,Noctuidae,"""Rivula"" sp.",0,0
9,Geometridae,"""Syncosmia"" sp.",0,0
10,Geometridae,Abaciscus costimacula,3,7
11,Geometridae,Abaciscus tristis tristis,0,35
12,Erebidae,Aberrasine lichenshihi,2,152
13,Geometridae,Abraxas adilluminata,14,19
14,Geometridae,Abraxas consputa,4,14
15,Geometridae,Abraxas illuminata,0,1
16,Geometridae,Abraxas persimplex,3,1
17,Geometridae,Abraxas placata,6,0
18,Geometridae,Abraxas submartiaria,3,8
19,Geometridae,Abraxas suspecta,9,3
20,Geometridae,Abraxas tenellula,12,30
21,Geometridae,Abraxas tenuisuffusa,4,2
22,Geometridae,Abraxas wilemani,3,4
23,Noctuidae,Abrostola suisharyonis suisharyonis,1,0
24,Geometridae,Acasis viretata himalayica,1,6
25,Geometridae,Achrosis rufescens,0,62
26,Geometridae,Acolutha pictaria imbecilla,0,60
27,Geometridae,Acolutha pulchella semifulva,0,16
28,Noctuidae,Acosmetia chinensis,0,12
29,Noctuidae,Acronicta gigasa,2,38
30,Noctuidae,Acronicta hercules,2,41
31,Noctuidae,Acronicta intermedia,2,19
32,Noctuidae,Acronicta pruinosa,3,17
33,Noctuidae,Acronicta sp.,0,0
34,Saturniidae,Actias ningpoana ningtaiwana,2,122
35,Erebidae,Adrapsa incertalis,4,0
36,Erebidae,Adrapsoides reticulatis,4,6
37,Noctuidae,Aedia acronyctoides,0,0
38,Adelidae,Aelidae sp.,0,0
39,Depressariidae,Aeolanthes brochias,0,1
40,Geometridae,Aethalura duplicata,0,53
41,Geometridae,Agathia magnificentia,1,9
42,Erebidae,Aglaomorpha histrio formosana,0,155
43,Drepanidae,Agnidra scabiosa fixseni,2,23
44,Sphingidae,Agrius convolvuli,1,46
45,Noctuidae,Agrotis taiwana,1,78
46,Erebidae,Agylla pulchristriata,1,17
47,Geometridae,Alcis admissaria undularia,1,110
48,Geometridae,Alcis hyberniata,0,12
49,Geometridae,Alcis maculata taiwanica,2,25
50,Geometridae,Alcis nubeculosa,2,14
51,Geometridae,Alcis pallens,2,52
52,Geometridae,Alcis plebeia,2,8
53,Geometridae,Alcis postlurida,2,57
54,Geometridae,Alcis rubicunda,1,74
55,Geometridae,Alcis scortea,1,36
56,Geometridae,Alcis semiusta,1,106
57,Geometridae,Alcis subpunctata,1,0
58,Geometridae,Alcis taiwanensis,2,89
59,Geometridae,Alcis taiwanovariegata,2,702
60,Notodontidae,Allodontoides tenebrosa,0,112
61,Erebidae,Amata hirayamae,2,0
62,Erebidae,Amata wilemani,2,19
