,Name,label
0,Not_id_yet_CARS1607,10
1,CATT1380_1,3
2,NOC040_SJTT0415_1_male,0
3,CARS1467,7
4,CARS2225,7
5,NOT05_SJTT0290_1_male,0
6,NOC040_CARS0012,7
7,GEO142_SJTT1875_1_male,1
8,PYR002_CARS0182,8
9,LYM03_SJTT0339_1_female,3
10,Scoliopteryx libatrix_male_Chilai_IX-2012_023_800,2
11,LIM09_SJTT1650_1_male,3
12,CARS2239,8
13,Not_id_yet_CARS2261,10
14,CARS1670,7
15,CRA03_SJTT0928_1_male,3
16,CATT1968_1,9
17,CARS2032,4
18,NOT01_SJTT2496_1_male,9
19,CATT1664_1,3
20,CATT1311_1,6
21,CARS0287,3
22,CARS1649,7
23,GEO058_SJTT1933_1_male,5
24,GEO142_SJTT1829_1_female,1
25,ARC04_SJTT0868_1_male,9
26,NOC202_CARS1765,8
27,ARC06_SJTT0688_1_male,5
28,Dendrolimus punctatus_female_58mm_800,2
29,Avitta punta_female_FBG_12-XI-2010_SWu-018_800,4
30,LIT31_SJTT0188_1_female,3
31,CARS1008,7
32,Not_id_yet_CARS1858,8
33,Kunugia undans metanastroides_male_MSE2000_19-20-XI-2015 001_1,2
34,Not_id_yet_CARS0612,7
35,Diarsia nigrafasciata_male_38mm_800px,2
36,NOC061_SJTT0362_1_male,0
37,GEO201_CARS0641,10
38,ARC03_SJTT2244_1_male,5
39,CARS2211,7
40,NOC279_CARS1433,8
41,Not_id_yet_CARS1977,7
42,CATT1490_1,5
43,Gazalina puriflcata_male_Tianwan_19-VII-2012_SWu&WCChang_TFRI148850_MOH_800,1
44,LYM01_SJTT0891_1_male,0
45,COS01_SJTT2043_1_male,0
46,CATT0806_1,3
47,NOC090_CARS0228,4
48,GEO110_CARS0357,4
49,NOC015_SJTT2208_1_male,4
50,NOC040_SJTT0455_1_female,0
51,CATT1585_1,3
52,CARS1587,7
53,THY13_SJTT2444_1_female,0
54,NOC008_SJTT2294_1_male,0
55,CARS1325,7
56,NOC034_SJTT0386_1_female,0
57,GEO059_CARS0500,7
58,GEO036_CARS0932,7
59,CATT0722_1,4
60,CATT1389_1,3
61,NOC008_CARS0117,8
62,NOC027_SJTT2084_1_female,4
63,GEO125_CARS0682,4
64,Not_id_yet_CARS1436,10
65,CATT1584_1,3
66,PYR02_SJTT0576_1_male,9
67,Abraxas placata_male_Tatajia_8-IX-2011_TFRI00128561-01_800px,2
68,CARS2218,7
69,CARS1378,7
70,CATT1733_1,0
71,Eudocima phalonia_female_80mm,2
72,GEO125_CARS0651,10
73,Not_id_yet_CARS1564,8
74,NOT05_SJTT1269_1_male,0
75,CATT0769_1,5
76,GEO171_CARS1527,8
77,PYR06_SJTT2485_1_male,5
78,LIT10_SJTT0552_1_male,5
79,CARS1463,8
80,LIT02_SJTT0233_1_female,5
81,THY15_SJTT1561_1_male,0
82,Not_id_yet_CARS1793,10
83,Not_id_yet_CARS1628,10
84,LIT11_SJTT0143_1_male,3
85,GEO146_SJTT2038_1_male,3
86,CATT0343_1,3
87,GEO073_SJTT0189_1_male,3
88,NOC092_CARS0949,8
89,NOC003_CARS0562,10
90,CATT0028_1,9
91,NOT01_SJTT2242_1_male,0
92,CARS1216,7
93,NOC015_CARS0589,7
94,CATT0641_1,6
95,NOT05_SJTT0262_1_male,0
96,GEO022_SJTT1505_1_male,3
97,LIM04_SJTT2014_1_female,5
98,DRE01_SJTT2432_1_male,4
99,LIT11_SJTT2102_1_female,3
