,No.,Altitude,Date,https://docs.google.com/spreadsheets/d/1fSvWzYNNyPRax3SlRuPMMsVsCZzNOj_fLgdczTBqpuk/edit#gid=941757145,Family,Species,Sex,W_length,B_length,w (g),插針重/針種類,Dw(g),Wei,Note_WT ,label,ID(ima),Note_SW,疊,籤,檔案日期,影像問題,Note_Chiou_Specimen,Note_thermal,Hot,Cold,Before.jpg,Temp_min_bf,Temp_max_bf,Temp_avg_bf,After.jpg,Temp_min,Temp_max,Temp_avg,Note,leg,點測
1,SJTT0001,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT02,female,18.98,11.53,0.0501,0.0383,0.0118,#N/A,右翅破損,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13524,36.2,39.3,37.7,,,
2,SJTT0002,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT09,female,23.65,14.74,0.0835,0.0375,0.046,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13526,37.6,40.4,38.8,,,
3,SJTT0003,2000,28-VI-2017,"30.65613, 102.74873",Notodontidae,SJ_NOT02,female,32.8,24.75,0.1549,0.0375,0.1174,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13528,39.4,45.6,42.1,,,
4,SJTT0004,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT21,male,13.69,10.24,0.0424,0.0368,0.0056,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13530,3.2,4.4,4,,,
5,SJTT0005,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_HYP06,male,18.82,15.38,0.0559,0.038,0.0179,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13532,39,40.8,39.7,,,
6,SJTT0006,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO155,male,13.49,9.19,0.0421,0.0383,0.0038,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13534,37.5,41.8,39.9,,,
7,SJTT0007,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT32,male,18.03,11.17,0.0514,0.0377,0.0137,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13536,5.3,9.5,8.7,,,
8,SJTT0008,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT02,female,19,10.34,0.055,0.0375,0.0175,#N/A,右翅破損,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13540,37.3,40.7,38.5,,,
9,SJTT0009,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT02,female,20.48,11.3,0.0563,0.038,0.0183,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13542,2.2,5.1,3.4,,,
10,SJTT0010,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC086,male,12.78,11.59,0.0563,0.0376,0.0187,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13544,40.5,41.7,41.1,,,
11,SJTT0011,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT03,male,19.56,14.73,0.0669,0.038,0.0289,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13546,41,44.6,43.2,胸的地方有腳,,
12,SJTT0012,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_ARC07,male,18.27,12.8,0.0767,0.0378,0.0389,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13548,3.4,6.4,4.5,,,
13,SJTT0013,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO063,male,21.88,17.45,0.0543,0.0378,0.0165,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13550,39.6,41.1,40.6,,,
14,SJTT0014,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT39,female,15.54,10.47,0.0552,0.0379,0.0173,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13552,39.1,42.2,40.5,,,
15,SJTT0015,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_ARC05,male,24.09,17.92,0.1288,0.0377,0.0911,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13554,19.2,23,20.2,,,
16,SJTT0016,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO063,female,20.73,13.76,0.0519,0.0379,0.014,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13556,39.3,40.4,39.8,,,
17,SJTT0017,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO063,male,21.53,18.28,0.0531,0.0378,0.0153,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13558,39.5,45.1,41.9,胸的地方有翅膀,,
18,SJTT0018,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LYM01,female,22.56,16.15,0.0993,0.038,0.0613,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13562,41.4,43,42,,,
19,SJTT0019,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO063,male,21.31,17.47,0.0579,0.0381,0.0198,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13564,39.9,43.4,41.4,胸的地方有翅膀,,
20,SJTT0020,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO120,male,17.15,13.4,0.0523,0.0373,0.015,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13566,38.2,43.8,40.5,,,
21,SJTT0021,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT12,female,20,12.46,0.0535,0.0372,0.0163,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13568,37.8,40.6,38.9,,,
22,SJTT0022,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO099,male,20.87,15.46,0.0662,0.0385,0.0277,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13572,41,42.7,41.7,,,
23,SJTT0023,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_ERE18,male,14.81,11.53,0.0541,0.0368,0.0173,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13574,3.6,4.9,4.2,,,
24,SJTT0024,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT12,female,20.41,11.84,0.0602,0.0376,0.0226,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13576,40.7,43.6,41.9,,,
25,SJTT0025,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LYM01,male,19.65,15.08,0.0904,0.0374,0.053,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13578,41.9,44.8,42.9,胸的地方有腳,,
26,SJTT0026,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO121,male,16.12,10.9,0.0464,0.037,0.0094,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13580,42.4,44.6,43,,,
